	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
PWY-7053	CPD-14424	CPD-14425	CPD-14426	CO-A	Glycerolipids	CPD-17354	CPD-17355																				
PWY-7088	Red-NADPH-Hemoprotein-Reductases	CPD-267	CPD-7070	CPD-2205	CPD-1041	CPD-1074	CPD-14590	PROTON	CARBON-DIOXIDE																		
PWY-7135	DOPAMINE	DEACETYLISOIPECOSIDE	CPD-14812	CPD-14813	CPD-14814	CPD-14815	CPD-14818	CPD-14816	CPD-14817																		
PWY-7138	S-TETRAHYDROCOLUMBAMINE	S-TETRAHYDROBERBERINE	S-N-METHYLCANADINE	CPD-21506	CPD-21505	CPD-14829	CPD-14830	CPD-14831	CPD-14832	CPD-14833	CPD-14834																
PWY-7151	OXYGEN-MOLECULE	CPD-10527	CPD-14857	CPD-14856	PROTON	CPD-14861	CPD-14863	ADENOSYL-HOMO-CYS																			
PWY-7154	S-ADENOSYLMETHIONINE	CPD-22096	CPD-22098	CPD-14889	PROTON	CPD-22099	CPD-14891	CPD-14892	CPD-14893	CPD-14894	NADPH	NADP	ERGOSTEROL														
PWY-7155	S-ADENOSYLMETHIONINE	CPD-14905	CPD-14903	CPD-14902	CPD-14901	CPD-14900	NADPH	NADP	PROTON	FERRICYTOCHROME-B5																	
PWY-7186	COUMARATE	CPD-676	FERULIC-ACID	CPD-15073	CPD-15076	SCOPOLETIN	PROTON																				
PWY-7341	CPD-5922	CPD-7996	L-HYOSCYAMINE	CPD-2202	CARBON-DIOXIDE	CPD-7995	UNKNOWN	TROPINONE																			
PWY-7342	OXYGEN-MOLECULE	PROTON	CPD-14074	CPD-14075	CPD-14076	NADPH	NADP	NICOTINE	CPD-2748																		
PWY-7363	S-COCLAURINE	6-O-METHYLNORLAUDANOSOLINE	CPD-15799	CPD-15801	CPD-15798	CPD-15800	Donor-H2																				
PWY-7398	TYR	L-DIHYDROXY-PHENYLALANINE	CPD-676	CAFFEOYL-COA	FERULOYL-COA	CPD-13328	CO-A	AMP																			
PWY-7450	CPD-16541	CPD-16536	CPD-16537	CPD-16538	CPD-16539	PROTON	CO-A																				
PWY-7473	EPOXYSQUALENE	CPD-6948	CPD-16621	CPD-16622	CPD-16625	CPD-16623	CPD-10678																				
PWY-7614	GLUTATHIONE	S-METHYLGLUTATHIONE	CPD-17447	S-METHYL-L-CYSTEINE	CPD-9277	CPD-17426	WATER	GLY																			
PWY-7636	CPD-17650	CPD-7853	CPD-17651	CPD-7854	CPD-17652	Donor-H2	Acceptor	CPD-7851																			
PWY-7680	GERANYLGERANYL-PP	CPD-4750	CPD-14312	CPD-8721	CPD-16534	CPD-20241	PROTON	NADP																			
PWY-7682	OXYGEN-MOLECULE	CPD-18120	CPD-18126	CPD-18127	CPD-18128	NADH-P-OR-NOP	NAD-P-OR-NOP	PROTON	CPD-18129																		
PWY-7826	S-ADENOSYLMETHIONINE	CPD-19421	CPD-19436	Acceptor	Donor-H2	CPD-19464	CPD-19463	NADP	NADPH	WATER	4-HYDROXYBENZALDEHYDE	CPD-7616	PROTON	TYRAMINE	CPD-19419												
PWY-7857	CPD-4211	PROTON	CO-A	2-METHYL-BUTYRYL-COA	CPD-19784	CPD-19785	CPD-19789	PPI																			
PWY-7897	CPD-12449	PHLORETIN	CPD-20010	PROTON	CPD-20012	NARINGENIN-CMPD	CPD-15074	CPD-12655	CPD-15088	CPD-20023	CPD-20014																
PWY-7943	CPD-464	CPD-20653	CPD-20661	CPD-20660	CPD-20659	CPD-20658	CPD-13313																				
PWY-8024	TRP	CPD-13026	CPD-13027	INDOLE-3-ACETALDOXIME	CPD-13028	INDOLEYL-CPD	CPD-21441	CPD-21650	CPD-21649																		
PWY0-166	DCDP	DCTP	DUTP	PROTON	WATER	DUMP	TMP	TDP	TTP																		
PWY0-461	NAD	5-AMINOPENTANOATE	CPD-280	GLUTARATE	CPD-381	2-KETOGLUTARATE	CPD-12763	PROTON	CADAVERINE	Glutamates																	
PWY18C3-2	CPD-22270	CPD-22269	NADPH	CPD-18645	CPD-18644	CPD-13080	PROTON	CPD-14702	CPD-18643	CPD-18646	NADP	CPD-22268															
PWY4FS-4	S-ADENOSYLMETHIONINE	CPD-406	CPD-5441	CPD4FS-1	CPD-160	PROTON	PPI																				
PWY66-341	CPD-4186	5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL	ZYMOSTEROL	PROTON	CPD-4575	CPD-4576	CPD-4577	CPD-4578																			
PWYQT-4450	WATER	CPDQT-31	CPD-19477	CPDQT-36	CPD-19491	CPDQT-27	CPDQT-32	CPD-19478	CPDQT-37	CPD-19490	CPDQT-28	CPDQT-33	CPD-19479	CPDQT-38	CPD-19489	CPDQT-29	CPDQT-34	CPD-19480	CPDQT-39	CPD-19488	CPDQT-30	CPDQT-35	CPD-19481	CPDQT-40	CPD-19487	CPDQT-41	CPDQT-277
PWYQT-4471	OXYGEN-MOLECULE	CPDQT-341	CPD-12392	CPD-12393	CPD-12394	CPDQT-411	CPDQT-416	PROTON	CPDQT-280	CPDQT-273	WATER	CPDQT-406	PYRUVATE														
PWYQT-4472	OXYGEN-MOLECULE	CPDQT-343	CPD-12395	CPD-12396	CPD-12397	CPDQT-412	CPDQT-285	CPDQT-286	CPDQT-284	PROTON	WATER	CPDQT-407	PYRUVATE														
PWYQT-4473	OXYGEN-MOLECULE	CPDQT-405	CPD-12398	CPD-12399	CPD-12400	CPDQT-413	CPDQT-417	PROTON	WATER	CPDQT-408	PYRUVATE																
PWYQT-4474	CPDQT-256	CPDQT-350	CPD-12401	CPD-12402	CPD-12403	CPDQT-414	CPDQT-418	PROTON	WATER	CPDQT-409	PYRUVATE																
PWYQT-4475	OXYGEN-MOLECULE	CPDQT-262	CPD-12404	CPD-12405	CPD-12406	CPDQT-410	CPDQT-415	CPDQT-419	PROTON	WATER	GLY																
PWYQT-4477	CPD-1863	WATER	CPD-1881	CPDQT-429	CPDQT-434	CPD-21172	CPD-21171	CPD-8913																			
RIBOSYN2-PWY	RIBULOSE-5P	DIHYDROXY-BUTANONE-P	DIMETHYL-D-RIBITYL-LUMAZINE	AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	WATER	PROTON	RIBOFLAVIN	FMN	FAD																		
UDPNACETYLGALSYN-PWY	Glucopyranose	D-glucopyranose-6-phosphate	FRUCTOSE-6P	D-GLUCOSAMINE-6-P	N-ACETYL-D-GLUCOSAMINE-6-P	N-ACETYL-D-GLUCOSAMINE-1-P	UDP-N-ACETYL-D-GLUCOSAMINE																				
